"TICKER","DATE","RETURN","OIL","ENERGY","FINANCE","RETAIL","NF.METALL","OTHER"
"AFKS.ME",2017-02-13,-0.000840252136145136,0,0,0,0,0,1
"AFKS.ME",2017-02-14,-0.00441555910784019,0,0,0,0,0,1
"AFKS.ME",2017-02-15,-0.0255543411005001,0,0,0,0,0,1
"AFKS.ME",2017-02-16,-0.0130039011703511,0,0,0,0,0,1
"AFKS.ME",2017-02-17,-0.0111989898989899,0,0,0,0,0,1
"AFKS.ME",2017-02-20,0.0259827237833767,0,0,0,0,0,1
"AFKS.ME",2017-02-21,-0.0127705627705629,0,0,0,0,0,1
"AFKS.ME",2017-02-22,-0.00504270993203249,0,0,0,0,0,1
"AFKS.ME",2017-02-24,-0.0288673852416312,0,0,0,0,0,1
"AFKS.ME",2017-02-27,-0.00204220558202872,0,0,0,0,0,1
"AFKS.ME",2017-02-28,0.0286494315597998,0,0,0,0,0,1
"AFKS.ME",2017-03-01,0.00353669303551318,0,0,0,0,0,1
"AFKS.ME",2017-03-02,-0.0325992056123698,0,0,0,0,0,1
"AFKS.ME",2017-03-03,-0.00751361600699518,0,0,0,0,0,1
"AFKS.ME",2017-03-06,0.0323468685478321,0,0,0,0,0,1
"AFKS.ME",2017-03-07,-0.00533337777777776,0,0,0,0,0,1
"AFKS.ME",2017-03-09,-0.0522788227112969,0,0,0,0,0,1
"AFKS.ME",2017-03-10,-0.0115511085125464,0,0,0,0,0,1
"AFKS.ME",2017-03-13,0.0379203434295254,0,0,0,0,0,1
"AFKS.ME",2017-03-14,0.0236672794117645,0,0,0,0,0,1
"AFKS.ME",2017-03-15,-0.0327721661054993,0,0,0,0,0,1
"AFKS.ME",2017-03-16,0.030633557669993,0,0,0,0,0,1
"AFKS.ME",2017-03-17,0.00495388426030186,0,0,0,0,0,1
"AFKS.ME",2017-03-20,-0.0255433553419961,0,0,0,0,0,1
"AFKS.ME",2017-03-21,0.0117267872280162,0,0,0,0,0,1
